Album,No.,Title
Panda Bear Meets the Grim Reaper,1,Sequential Circuits
Panda Bear Meets the Grim Reaper,2,Mr Noah
Panda Bear Meets the Grim Reaper,3,Davy Jones' Locker
Panda Bear Meets the Grim Reaper,4,Crosswords
Panda Bear Meets the Grim Reaper,5,Butcher Baker Candlestick Maker
Panda Bear Meets the Grim Reaper,6,Boys Latin
Panda Bear Meets the Grim Reaper,7,Come to Your Senses
Panda Bear Meets the Grim Reaper,8,Tropic of Cancer
Panda Bear Meets the Grim Reaper,9,Shadow of the Colossus
Panda Bear Meets the Grim Reaper,10,Lonely Wanderer
Panda Bear Meets the Grim Reaper,11,Principe Real
Panda Bear Meets the Grim Reaper,12,Selfish Gene
Panda Bear Meets the Grim Reaper,13,Acid Wash
Girls in Peacetime Want to Dance,1,Nobody's Empire
Girls in Peacetime Want to Dance,2,Allie
Girls in Peacetime Want to Dance,3,The Party Line
Girls in Peacetime Want to Dance,4,The Power of Three 
Girls in Peacetime Want to Dance,5,The Cat with the Cream
Girls in Peacetime Want to Dance,6,Enter Sylvia Plath
Girls in Peacetime Want to Dance,7,The Everlasting Muse
Girls in Peacetime Want to Dance,8,Perfect Couples 
Girls in Peacetime Want to Dance,9,Ever Had a Little Faith?
Girls in Peacetime Want to Dance,10,Play for Today 
Girls in Peacetime Want to Dance,11,The Book of You 
Girls in Peacetime Want to Dance,12,Today (This Army's for Peace)
Vulnicura,1,Stonemilker
Vulnicura,2,Lionsong
Vulnicura,3,History of Touches
Vulnicura,4,Black Lake
Vulnicura,5,Family
Vulnicura,6,Notget
Vulnicura,7,Atom Dance 
Vulnicura,8,Mouth Mantra
Vulnicura,9,Quicksand
B4.Da.$$,1,Save the Children
B4.Da.$$,2,Greenbax (Introlude)
B4.Da.$$,3,Paper Trail$
B4.Da.$$,4,Piece of Mind
B4.Da.$$,5,Big Dusty
B4.Da.$$,6,Hazeus View
B4.Da.$$,7,Like Me 
B4.Da.$$,8,Belly of the Beast 
B4.Da.$$,9,No. 99
B4.Da.$$,10,Christ Conscious
B4.Da.$$,11,On & On 
B4.Da.$$,12,Escape 120 
B4.Da.$$,13,Black Beetles
B4.Da.$$,14,O.C.B.
B4.Da.$$,15,Curry Chicken
Tetsuo & Youth,1,Summer
Tetsuo & Youth,2,Mural
Tetsuo & Youth,3,Blur My Hands 
Tetsuo & Youth,4,Dots & Lines
Tetsuo & Youth,5,Fall
Tetsuo & Youth,6,Prisoner 1 & 2 
Tetsuo & Youth,7,Body of Work 
Tetsuo & Youth,8,Little Death 
Tetsuo & Youth,9,No Scratches 
Tetsuo & Youth,10,Winter
Tetsuo & Youth,11,Chopper 
Tetsuo & Youth,12,Deliver
Tetsuo & Youth,13,Madonna (And Other Mothers in the Hood)
Tetsuo & Youth,14,Adoration of the Magi 
Tetsuo & Youth,15,They.Resurrect.Over.New 
Tetsuo & Youth,16,Spring
To Pimp a Butterfly,1,Wesley's Theory 
To Pimp a Butterfly,2,For Free? (Interlude)
To Pimp a Butterfly,3,King Kunta
To Pimp a Butterfly,4,Institutionalized 
To Pimp a Butterfly,5,These Walls 
To Pimp a Butterfly,6,u
To Pimp a Butterfly,7,Alright
To Pimp a Butterfly,8,For Sale? (Interlude)
To Pimp a Butterfly,9,Momma
To Pimp a Butterfly,10,Hood Politics
To Pimp a Butterfly,11,How Much a Dollar Cost 
To Pimp a Butterfly,12,Complexion (A Zulu Love)
To Pimp a Butterfly,13,The Blacker the Berry
To Pimp a Butterfly,14,You Ain't Gotta Lie (Momma Said)
To Pimp a Butterfly,15,i
To Pimp a Butterfly,16,Mortal Man
Strangers to Ourselves,1,Strangers to Ourselves
Strangers to Ourselves,2,Lampshades on Fire
Strangers to Ourselves,3,Shit in Your Cut
Strangers to Ourselves,4,"Pistol (A. Cunanan, Miami, FL. 1996)"
Strangers to Ourselves,5,Ansel
Strangers to Ourselves,6,"The Ground Walks, with Time in a Box"
Strangers to Ourselves,7,Coyotes
Strangers to Ourselves,8,Pups to Dust
Strangers to Ourselves,9,Sugar Boats
Strangers to Ourselves,10,Wicked Campaign
Strangers to Ourselves,11,Be Brave
Strangers to Ourselves,12,God Is an Indian and You're an Asshole
Strangers to Ourselves,13,The Tortoise and the Tourist
Strangers to Ourselves,14,The Best Room
Strangers to Ourselves,15,Of Course We Know
"I Don't Like Shit, I Don't Go Outside",1,Huey
"I Don't Like Shit, I Don't Go Outside",2,Mantra
"I Don't Like Shit, I Don't Go Outside",3,Faucet
"I Don't Like Shit, I Don't Go Outside",4,Grief
"I Don't Like Shit, I Don't Go Outside",5,Off Top
"I Don't Like Shit, I Don't Go Outside",6,Grown Ups 
"I Don't Like Shit, I Don't Go Outside",7,AM // Radio 
"I Don't Like Shit, I Don't Go Outside",8,Inside
"I Don't Like Shit, I Don't Go Outside",9,DNA 
"I Don't Like Shit, I Don't Go Outside",10,Wool 
"Sometimes I Sit and Think, and Sometimes I Just Sit",1,Elevator Operator 
"Sometimes I Sit and Think, and Sometimes I Just Sit",2,Pedestrian at Best 
"Sometimes I Sit and Think, and Sometimes I Just Sit",3,An Illustration of Loneliness (Sleepless in New York
"Sometimes I Sit and Think, and Sometimes I Just Sit",4,Small Poppies 
"Sometimes I Sit and Think, and Sometimes I Just Sit",5,Depreston 
"Sometimes I Sit and Think, and Sometimes I Just Sit",6,Aqua Profunda! 
"Sometimes I Sit and Think, and Sometimes I Just Sit",7,Dead Fox 
"Sometimes I Sit and Think, and Sometimes I Just Sit",8,Nobody Really Cares If You Don't Go to the Party 
"Sometimes I Sit and Think, and Sometimes I Just Sit",9,Debbie Downer 
"Sometimes I Sit and Think, and Sometimes I Just Sit",10,Kim's Caravan 
"Sometimes I Sit and Think, and Sometimes I Just Sit",11,Boxing Day Blues 
"Sometimes I Sit and Think, and Sometimes I Just Sit",12,Stair Androids & Valley Um... 
2,1,The Business of Emotion 
2,2,Dangerous 
2,3,Clean 
2,4,The Glow 
2,5,Snowed In 
2,6,Big Dater
2,7,Automatic 
2,8,Get Some Freedom 
2,9,Sick For Me 
2,10,Perfect Holiday 
Kintsugi,1,No Room in Frame
