Release date,Artist,Album,Main genre
1.06,Infected Mushroom,Friends on Mushrooms,Electronic rock
1.06,Låpsley,Understudy,Electronic
1.06,Rae Sremmurd,SremmLife,Hip hop
1.09,Meghan Trainor,Title,Blue-eyed soul
1.13,Dan Mangan,Club Meds,Indie folk
1.13,DMX,Redemption of the Beast,Hardcore hip hop
1.13,Guster,Evermotion,Rock
1.13,Jazmine Sullivan,Reality Show,R&B
1.13,Kat Dahlia,My Garden,Alternative R&B
1.13,Mark Ronson,Uptown Special,Funk
1.13,Panda Bear,Panda Bear Meets the Grim Reaper,Psychedelic pop
1.16,Marilyn Manson,The Pale Emperor,Alternative rock
1.16,Mikky Ekko,Time,Indie pop
1.19,The Avener,The Wanderings of the Avener,Electronic
1.2,Belle and Sebastian,Girls in Peacetime Want to Dance,Indie pop
1.2,Björk,Vulnicura,Electronic
1.2,Enter Shikari,The Mindsweep,Electronicore
1.2,Fall Out Boy,American Beauty/American Psycho,Alternative rock
1.2,Joey Bada$$,B4.Da.$$,Hip hop
1.2,Lupe Fiasco,Tetsuo & Youth,Hip hop
1.2,Ne-Yo,Non-Fiction,R&B
1.2,Siouxsie and the Banshees,Spellbound: The Collection,Post-punk
1.2,Sleater-Kinney,No Cities to Love,Punk rock
1.2,The Decemberists,"What a Terrible World, What a Beautiful World",Indie rock
1.2,Viet Cong,Viet Cong,Indie rock
1.23,Pond,Man It Feels Like Space Again,Psychedelic rock
1.26,Rae Morris,Unguarded,Pop
1.26,The Charlatans,Modern Nature,Indie rock
1.27,Papa Roach,F.E.A.R. (Face Everything and Rise),Hard rock
1.27,Periphery,Juggernaut: Alpha,Progressive metal
1.27,Periphery,Juggernaut: Omega,Progressive metal
1.3,Blind Guardian,Beyond the Red Mirror,Power metal
1.3,Callisto,Secret Youth,Post-metal
2.02,Title Fight,Hyperview,Shoegazing
2.03,Bob Dylan,Shadows in the Night,Traditional pop
2.03,Diana Krall,Wallflower,Vocal jazz
2.03,Fifth Harmony,Reflection,Pop
2.03,Kid Ink,Full Speed,Hip hop
2.03,Mount Eerie,Sauna,Lo-fi
2.03,Murder by Death,Big Dark Love,Indie rock
2.03,Yandel,Legacy: De Líder a Leyenda Tour,Reggaeton
2.05,Riverbeds,What You Keep Close,Indie rock
2.09,Peace,Happy People,Indie rock
2.1,Father John Misty,"I Love You, Honeybear",Indie rock
2.1,Michelle Chamuel,Face the Fire,Pop
2.1,Ricky Martin,A Quien Quiera Escuchar,Pop
2.1,Stick to Your Guns,Disobedient,Hardcore punk
2.1,The Neal Morse Band,The Grand Experiment,Progressive rock
2.14,Mýa,Love Elevation Suite,R&B
2.16,Carl Barât and the Jackals,Let It Reign,Rock
2.17,A Place to Bury Strangers,Transfixiation,Noise rock
2.17,Elle King,Love Stuff,Alternative
2.17,Estelle,True Romance,R&B
2.17,Imagine Dragons,Smoke + Mirrors,Indie rock
2.17,Raheem DeVaughn,"Love, Sex & Passion",R&B
2.17,Six Organs of Admittance,Hexadic,Indie rock
2.17,The Mavericks,Mono,Americana
2.23,BADBADNOTGOOD & Ghostface Killah,Sour Soul,Hip hop
2.23,Public Service Broadcasting,The Race for Space,Alternative
2.23,Scorpions,Return to Forever,Hard rock
2.23,UFO,A Conspiracy of Stars,Hard rock
2.24,All That Remains,The Order of Things,Melodic metalcore
2.24,Big Sean,Dark Sky Paradise,Hip hop
2.24,Chris Brown & Tyga,Fan of a Fan: The Album,R&B
2.24,Emile Haynie,We Fall,Alternative
2.24,Falling In Reverse,Just Like You,Post-hardcore
2.24,Future Brown,Future Brown,Electronic
2.24,Gang of Four,What Happens Next,Post-punk
2.24,Kid Rock,First Kiss,Heartland rock
2.24,Marta Sánchez,21 Días,Latin pop
2.24,Red,Of Beauty and Rage,Alternative rock
2.25,Noel Gallagher's High Flying Birds,Chasing Yesterday,Alternative rock
2.27,Jack Ü,Skrillex and Diplo Present Jack Ü,EDM
2.27,Steven Wilson,Hand. Cannot. Erase.,Progressive rock
3.02,Blue,Colours,Pop
3.02,Rixton,Let the Road,Pop
3.02,RuPaul,Realness,Dance
3.03,Kelly Clarkson,Piece by Piece,Pop
3.03,of Montreal,Aureate Gloom,Progressive rock
3.03,Purity Ring,Another Eternity,Electronic
3.03,Shania Twain,Still the One: Live from Vegas,Country
3.04,B'z,Epic Day,Hard rock
3.1,Donna Lewis,Brand New Day,Pop
3.1,Madonna,Rebel Heart,Pop
3.1,Will Butler,Policy,Indie rock
3.13,Damien Leith,Songs from Ireland,Pop
3.13,Lee Kernaghan,Spirit of the Anzacs,Country music
3.16,Kendrick Lamar,To Pimp a Butterfly,Hip hop
3.16,Marina and the Diamonds,Froot,Synthpop
3.16,Mark Knopfler,Tracker,Classic rock
